순번,검진기관명,일반,영유아,구강,위암,대장암,간암,유방암,자궁경부암,폐암
19659,수플러스+치과의원,,,내원,,,,,,
19660,사랑이가득한치과의원,,,내원,,,,,,
19661,이예스치과의원,,,내원,,,,,,
19662,미소샘치과의원,,,내원,,,,,,
19663,드림치과의원,,,내원,,,,,,
19664,미인치과의원,,,내원,,,,,,
19665,타임치과의원,,,내원,,,,,,
19666,연세u치과의원,,,내원,,,,,,
19667,굿모닝치과의원,,,내원,,,,,,
19668,스카이치과의원,,,내원,,,,,,
19669,메르덴쥬니어치과의원,,,내원,,,,,,
19670,이클린치과의원,,,내원,,,,,,
19671,사랑애치과의원,,,내원,,,,,,
19672,더스타치과의원,,,내원,,,,,,
19673,미앤미치과의원,,,내원,,,,,,
19674,우리가족치과의원,,,내원,,,,,,
19675,역곡사과나무치과의원,,,내원,,,,,,
19676,W치과의원,,,내원,,,,,,
19677,이지치과의원,,,내원,,,,,,
19678,서울앤치과의원,,,내원,,,,,,
19679,서울플란트치과의원,,,내원,,,,,,
19680,유디부천치과의원,,,내원,,,,,,
19681,허브치과의원,,,내원,,,,,,
19682,중동갤러리치과의원,,,내원,,,,,,
19683,엘리트치과의원,,,내원,,,,,,
19684,이연석치과의원,,,내원,,,,,,
19685,연세베스트치과의원,,,내원,,,,,,
19686,서울리치과의원,,,내원,,,,,,
19687,상동21세기치과의원,,,내원,,,,,,
19688,부천씨디씨(CDC)소아치과의원,,,내원,,,,,,
19689,연세원치과의원,,,내원,,,,,,
19690,새숨치과의원,,,내원,,,,,,
19691,원치과의원,,,내원,,,,,,
19692,이다움치과의원,,,내원,,,,,,
19693,부천공감치과의원,,,내원,,,,,,
19694,화이트사과나무치과의원,,,내원,,,,,,
19695,부천정플란트치과의원,,,내원,,,,,,
19696,큐프라임소풍치과의원,,,내원,,,,,,
19697,서울미라클치과의원,,,내원,,,,,,
19698,이종석치과의원,,,내원,,,,,,
19699,예미담치과의원,,,내원,,,,,,
19700,상동서울치과의원,,,내원,,,,,,
19701,현대치과의원,,,내원,,,,,,
19702,민치과의원,,,내원,,,,,,
19703,부천보스톤치과의원,,,내원,,,,,,
19704,중동21세기치과의원,,,내원,,,,,,
19705,원미부부치과의원,,,내원,,,,,,
19706,주드림치과의원,,,내원,,,,,,
19707,임플라인치과의원,,,내원,,,,,,
19708,연세부부치과의원,,,내원,,,,,,
19709,더라은치과의원,,,내원,,,,,,
19710,즐거운치과의원,,,내원,,,,,,
19711,부천꼬마이치과의원,,,내원,,,,,,
